n_total,n_tp,n_sl,n_hold_exit,n_eod_exit,p_tp,p_sl,p_hold,p_eod,mean_hold_exit,mean_eod_exit,expectancy,opportunity_rate,bars_total,trades_total,symbol,window_days,sample_idx,start_date,end_date,run_id
12,0,7,5,0,0.0,0.5833333333333334,0.4166666666666667,0.0,0.00260105502292447,0,0.000500439592885196,0.0015592515592515593,7696,12,AAPL,30,0,2025-05-01,2025-06-12,20260211_163210
14,3,11,0,0,0.21428571428571427,0.7857142857142857,0.0,0.0,0,0,0.00028571428571428574,0.00587248322147651,2384,14,AMAT,30,0,2017-10-24,2017-12-05,20260211_163210
7,1,5,1,0,0.14285714285714285,0.7142857142857143,0.14285714285714285,0.0,0.004578055852281437,0,0.0006540079788973481,0.0009828699803426004,7122,7,AMZN,30,0,2025-05-20,2025-07-02,20260211_163210
33,3,29,1,0,0.09090909090909091,0.8787878787878788,0.030303030303030304,0.0,0.002113319625314025,0,-0.00036020243559654473,0.008013598834385623,4118,33,BIDU,30,0,2025-04-15,2025-05-28,20260211_163210
5,2,3,0,0,0.4,0.6,0.0,0.0,0,0,0.0014000000000000002,0.0017624250969333803,2837,5,BKR,30,0,2021-06-29,2021-08-10,20260211_163210
29,11,18,0,0,0.3793103448275862,0.6206896551724138,0.0,0.0,0,0,0.0012758620689655173,0.0074761536478473835,3879,29,CRWD,30,0,2025-03-27,2025-05-08,20260211_163210
21,10,11,0,0,0.47619047619047616,0.5238095238095238,0.0,0.0,0,0,0.001857142857142857,0.007497322384862549,2801,21,DDOG,30,0,2025-10-03,2025-11-13,20260211_163210
5,1,4,0,0,0.2,0.8,0.0,0.0,0,0,0.00019999999999999998,0.0026001040041601664,1923,5,DOCU,30,0,2025-02-11,2025-03-25,20260211_163210
14,1,13,0,0,0.07142857142857142,0.9285714285714286,0.0,0.0,0,0,-0.0005714285714285715,0.0021469099831314216,6521,14,LCID,30,0,2025-02-05,2025-03-19,20260211_163210
21,9,12,0,0,0.42857142857142855,0.5714285714285714,0.0,0.0,0,0,0.0015714285714285717,0.0029013539651837525,7238,21,MSTR,30,0,2025-02-06,2025-03-20,20260211_163210
