n_total,n_tp,n_sl,n_neither,p_tp,p_sl,p_neither,expectancy,opportunity_rate,bars_total,bars_filtered,symbol,window_days,sample_idx,start_date,end_date,run_id
34,3,23,8,0.08823529411764706,0.6764705882352942,0.23529411764705882,0.0005623813752564901,0.002920962199312715,11640,34,AAPL,30,0,2025-06-06,2025-06-30,20260211_152951
68,17,46,5,0.25,0.6764705882352942,0.07352941176470588,0.0008997244742075996,0.002913453299057412,23340,68,AAPL,60,0,2025-01-30,2025-03-17,20260211_152951
110,20,82,8,0.18181818181818182,0.7454545454545455,0.07272727272727272,0.0004452093854806896,0.003139269406392694,35040,110,AAPL,90,0,2025-01-06,2025-03-13,20260211_152951
30,8,19,3,0.26666666666666666,0.6333333333333333,0.1,0.0008735265298820732,0.002577319587628866,11640,30,AMAT,30,0,2021-05-07,2021-06-14,20260211_152951
90,48,40,2,0.5333333333333333,0.4444444444444444,0.022222222222222223,0.0022835920591176223,0.0038560411311053984,23340,90,AMAT,60,0,2018-06-05,2018-08-20,20260211_152951
99,31,64,4,0.31313131313131315,0.6464646464646465,0.04040404040404041,0.0010300207429178945,0.0028253424657534248,35040,99,AMAT,90,0,2018-03-22,2018-07-16,20260211_152951
34,16,18,0,0.47058823529411764,0.5294117647058824,0.0,0.001823529411764706,0.002920962199312715,11640,34,AMD,30,0,2025-03-07,2025-03-31,20260211_152951
91,18,70,3,0.1978021978021978,0.7692307692307693,0.03296703296703297,0.0003401435133700077,0.003898886032562125,23340,91,AMD,60,0,2025-12-03,2026-01-21,20260211_152951
209,139,69,1,0.6650717703349283,0.33014354066985646,0.004784688995215311,0.003012777136199221,0.005964611872146119,35040,209,AMD,90,0,2025-02-19,2025-04-23,20260211_152951
37,10,25,2,0.2702702702702703,0.6756756756756757,0.05405405405405406,0.0009203707085294274,0.0031786941580756014,11640,37,AMZN,30,0,2025-05-14,2025-06-05,20260211_152951
67,35,32,0,0.5223880597014925,0.47761194029850745,0.0,0.0021343283582089547,0.0028706083976006856,23340,67,AMZN,60,0,2025-01-27,2025-03-11,20260211_152951
173,105,67,1,0.6069364161849711,0.3872832369942196,0.005780346820809248,0.0026758236725762928,0.004937214611872146,35040,173,AMZN,90,0,2025-03-18,2025-05-19,20260211_152951
45,5,36,4,0.1111111111111111,0.8,0.08888888888888889,-1.1840730196483324e-05,0.003865979381443299,11640,45,BIDU,30,0,2025-06-02,2025-07-11,20260211_152951
38,19,19,0,0.5,0.5,0.0,0.002,0.0016281062553556128,23340,38,BIDU,60,0,2025-01-15,2025-03-17,20260211_152951
98,62,35,1,0.6326530612244898,0.35714285714285715,0.01020408163265306,0.002850529767305652,0.0027968036529680365,35040,98,BIDU,90,0,2025-01-15,2025-04-14,20260211_152951
44,25,18,1,0.5681818181818182,0.4090909090909091,0.022727272727272728,0.0024958837849958383,0.003780068728522337,11640,44,BKR,30,0,2018-07-03,2018-08-15,20260211_152951
93,31,58,4,0.3333333333333333,0.6236559139784946,0.043010752688172046,0.0012447348251722293,0.003984575835475578,23340,93,BKR,60,0,2019-10-30,2020-01-28,20260211_152951
188,147,39,2,0.7819148936170213,0.2074468085106383,0.010638297872340425,0.003702127659574468,0.005365296803652968,35040,188,BKR,90,0,2019-12-23,2020-05-01,20260211_152951
63,29,34,0,0.4603174603174603,0.5396825396825397,0.0,0.0017619047619047618,0.005412371134020618,11640,63,CRWD,30,0,2025-08-01,2025-09-09,20260211_152951
26,14,12,0,0.5384615384615384,0.46153846153846156,0.0,0.0022307692307692306,0.0011139674378748928,23340,26,CRWD,60,0,2025-09-11,2025-11-25,20260211_152951
144,99,43,2,0.6875,0.2986111111111111,0.013888888888888888,0.0032051798023311983,0.00410958904109589,35040,144,CRWD,90,0,2025-01-15,2025-05-02,20260211_152951
36,7,25,4,0.19444444444444445,0.6944444444444444,0.1111111111111111,0.0006648393376881029,0.003092783505154639,11640,36,CSGP,30,0,2024-08-29,2024-10-11,20260211_152951
48,38,9,1,0.7916666666666666,0.1875,0.020833333333333332,0.0038001039105491196,0.002056555269922879,23340,48,CSGP,60,0,2020-02-21,2020-07-06,20260211_152951
207,98,105,4,0.47342995169082125,0.5072463768115942,0.01932367149758454,0.0019310061911107237,0.0059075342465753425,35040,207,CSGP,90,0,2024-06-26,2024-11-04,20260211_152951
